id,income
88986,176000
181233,204000
81459,183000
123489,190000
55017,239000
16299,175000
55617,195000
20610,205000
43028,201000
54244,237000
114562,199000
121486,177000
41068,221000
175869,229000
118187,188000
119655,196000
87064,233000
132580,213000
3021,216000
99841,199000
112631,238000
81094,239000
176724,205000
87814,196000
176551,2e+05
12428,211000
191494,207000
196591,202000
17428,234000
23447,217000
198826,202000
153066,182000
189773,240000
137478,173000
102867,175000
161268,199000
140143,230000
60297,171000
82156,181000
17787,195000
34972,184000
126322,210000
17879,238000
9034,2e+05
22982,191000
89695,189000
27172,184000
19907,190000
22134,227000
30883,233000
94633,205000
182678,237000
156084,204000
38714,2e+05
116020,232000
163044,239000
66494,233000
51527,197000
78704,192000
108351,204000
56824,231000
115608,168000
115046,198000
61708,178000
56773,174000
66284,226000
130021,179000
110769,223000
117208,211000
179985,183000
33625,196000
26306,226000
34353,176000
38,177000
178267,178000
125827,219000
128367,228000
36634,2e+05
106877,179000
153839,177000
66445,216000
42541,235000
21256,202000
170549,211000
72924,180000
17340,207000
144057,220000
123763,177000
9537,218000
96812,223000
108486,182000
15445,229000
167528,174000
169195,186000
176452,208000
56222,217000
80447,209000
152026,239000
151284,204000
198853,187000
99298,191000
85373,213000
163787,176000
30481,222000
102258,230000
86630,197000
8472,240000
155483,224000
186793,204000
86701,225000
61758,226000
67936,238000
84477,174000
58537,233000
123409,199000
31904,203000
154479,201000
166225,236000
121744,219000
165902,212000
145006,176000
114938,228000
89712,191000
31204,193000
126551,173000
84944,187000
2077,235000
88323,177000
166266,212000
84769,188000
32589,170000
104066,205000
107813,173000
183553,194000
169526,218000
160516,176000
52902,204000
127636,216000
133373,213000
170522,175000
153185,197000
59579,217000
174533,222000
11109,206000
41881,221000
76598,193000
33750,191000
103204,194000
126906,231000
63430,207000
103399,184000
138054,208000
9877,179000
76598,183000
75800,175000
134703,214000
13641,175000
71802,201000
180717,206000
27598,226000
135674,229000
151464,231000
30728,226000
99423,239000
188586,226000
116432,240000
68443,171000
198245,176000
27359,185000
46333,218000
33882,186000
182729,240000
106402,198000
150263,171000
155080,194000
2128,232000
113773,207000
58396,180000
43717,213000
184109,184000
13510,180000
164756,182000
24394,226000
117524,192000
123689,231000
61916,231000
81881,215000
194288,211000
49869,186000
61786,225000
54022,173000
13714,171000
196988,208000
75800,212000
1476,211000
157998,223000
51083,235000
96817,229000
176798,206000
25211,208000
3068,186000
131206,225000
392,192000
25022,234000
125168,221000
137618,233000
10977,179000
16431,238000
68177,207000
90439,191000
144713,183000
163418,224000
127715,226000
22541,232000
180699,174000
176271,178000
115421,221000
55500,217000
157787,205000
124125,203000
160480,195000
176645,229000
74864,228000
139681,196000
169547,187000
80582,174000
8223,180000
108149,199000
150961,223000
50265,208000
173602,234000
98191,176000
100494,176000
69812,199000
21944,212000
83670,223000
69341,195000
163119,174000
153645,172000
196071,186000
145438,176000
158361,194000
155301,182000
178420,238000
92756,193000
152723,174000
115520,176000
109751,173000
198462,181000
100935,168000
66205,173000
32162,189000
144987,172000
71795,232000
11741,217000
72566,197000
121267,197000
184972,178000
21238,223000
83360,214000
68150,176000
170914,220000
182865,206000
98515,234000
96876,193000
98575,180000
59618,187000
81309,227000
82318,229000
123166,187000
163763,226000
80928,195000
153608,179000
28994,185000
155155,219000
53231,225000
53123,216000
173483,188000
91730,178000
113648,212000
69196,179000
17376,192000
99215,170000
184419,188000
70029,169000
114985,210000
9458,227000
82619,197000
100331,238000
8478,222000
192268,181000
166004,190000
76467,207000
152159,178000
131779,181000
148606,206000
90419,239000
48078,174000
94734,229000
27660,225000
157653,188000
85259,193000
39333,179000
153123,237000
107386,216000
175589,227000
152681,196000
99904,190000
4240,187000
111258,226000
76480,189000
69545,2e+05
116201,176000
182838,182000
130655,170000
1501,204000
174469,170000
128765,173000
132823,210000
65869,225000
16344,183000
87425,202000
75256,208000
155573,210000
113022,213000
86864,208000
116033,238000
158190,195000
184845,192000
98397,175000
128902,210000
186122,236000
72842,195000
19971,171000
19715,202000
24191,168000
191764,219000
68144,209000
126269,168000
81031,181000
174084,170000
149315,232000
149151,223000
135403,225000
197336,223000
137470,170000
181549,199000
50761,171000
15304,199000
175846,199000
149447,215000
344,227000
167713,236000
159647,196000
135819,182000
71545,189000
37023,182000
61607,203000
174022,2e+05
48762,178000
82129,196000
59966,193000
133049,170000
85769,226000
28044,198000
89,229000
40616,194000
17298,177000
38713,173000
105795,191000
152186,227000
178585,197000
184637,213000
17909,190000
6769,223000
89550,227000
145275,169000
192608,217000
189307,176000
165320,169000
190933,224000
66363,194000
25608,227000
59597,205000
148268,237000
148145,194000
5293,225000
163922,202000
122701,216000
31828,211000
133097,197000
100817,172000
123018,234000
55776,217000
110180,199000
136962,227000
21436,201000
42238,187000
176632,178000
90680,235000
92550,175000
198682,210000
137810,198000
134365,168000
163815,229000
32154,227000
31750,183000
179115,210000
140095,205000
65541,178000
140321,191000
60558,215000
176525,238000
76071,201000
171593,240000
67664,201000
40406,207000
12105,227000
106966,214000
55589,187000
111343,191000
197501,194000
54049,236000
86466,187000
135073,226000
2084,175000
89670,239000
119167,187000
77126,224000
51438,183000
98666,175000
42185,238000
171156,190000
75478,183000
152233,196000
60006,235000
137661,177000
120639,227000
58273,173000
3719,207000
110095,188000
8984,234000
131214,236000
69934,206000
88114,206000
90427,171000
158795,192000
139821,196000
199965,214000
113533,174000
43660,202000
25987,205000
134633,199000
3962,185000
187183,196000
166602,204000
86004,197000
112341,2e+05
3569,168000
134515,191000
13267,194000
26885,174000
28465,218000
30096,198000
23202,180000
173851,188000
19322,204000
119540,235000
87727,181000
138113,229000
124808,193000
56793,186000
133264,210000
63726,196000
168892,183000
120036,203000
83451,175000
169546,230000
142495,188000
95336,215000
45431,207000
59303,226000
70573,235000
126822,195000
117248,233000
77350,235000
181462,211000
128897,199000
157946,194000
128914,207000
166635,180000
41855,206000
32643,207000
12007,203000
188785,202000
197363,179000
91359,191000
5716,225000
73869,198000
85025,233000
171421,191000
116049,219000
35073,236000
139083,190000
174962,223000
27210,239000
161365,215000
62219,198000
87313,218000
130328,202000
32338,186000
58512,229000
167439,171000
166013,202000
8388,180000
27431,236000
92886,236000
41769,176000
55933,186000
17485,184000
44124,234000
195928,199000
4547,205000
182208,199000
190492,183000
96072,182000
78172,176000
87190,215000
150744,191000
122696,240000
36802,211000
121525,2e+05
23864,216000
134474,231000
31986,232000
105914,210000
147912,213000
166964,199000
176795,170000
60532,237000
72782,198000
170030,237000
70375,239000
65246,178000
171535,230000
83053,221000
16321,170000
124767,173000
67621,228000
190673,172000
114734,178000
180800,180000
69439,227000
123824,170000
48625,216000
162722,238000
45965,203000
173686,209000
118046,236000
60413,177000
188505,228000
185999,208000
82558,220000
111534,240000
13002,232000
47144,236000
27267,238000
111137,211000
101825,182000
88304,202000
34903,222000
149400,173000
112857,181000
97812,182000
152280,219000
137725,171000
98857,195000
181482,2e+05
191281,240000
71893,184000
31689,203000
157264,168000
181470,206000
189685,224000
17212,219000
160551,229000
109637,222000
30621,210000
36720,174000
24767,180000
175712,189000
12788,181000
3731,233000
160990,195000
156848,177000
197358,220000
27129,208000
150495,204000
151346,189000
78874,191000
85108,185000
138601,227000
70745,223000
120801,227000
49754,232000
11111,190000
126254,225000
181494,231000
161658,236000
132351,176000
118288,212000
51531,226000
93504,199000
188944,196000
107678,2e+05
6169,210000
9013,225000
156611,171000
136124,240000
83883,223000
142038,228000
27385,235000
2721,209000
127556,236000
130111,235000
128111,240000
40732,186000
141203,239000
50744,190000
82545,213000
330,203000
122757,191000
32083,208000
41783,2e+05
15990,239000
61687,240000
97033,225000
177683,192000
123640,176000
15153,192000
162858,173000
65546,194000
3299,224000
42652,224000
61209,203000
84174,2e+05
107798,194000
139805,222000
185878,176000
162840,207000
80670,220000
56212,168000
45332,227000
108883,199000
16279,175000
121561,196000
163452,181000
135077,204000
141606,205000
197157,215000
29482,177000
196071,217000
90801,211000
192474,233000
84904,169000
23396,184000
37650,201000
29501,223000
90361,194000
83258,169000
44914,238000
11870,210000
171618,231000
170170,212000
145686,228000
193949,203000
28359,187000
141855,218000
143209,233000
8658,238000
86966,191000
184963,225000
173561,220000
6810,236000
98301,239000
83154,180000
179706,181000
86637,179000
95920,239000
54427,194000
177704,201000
33138,194000
115654,207000
90182,211000
198649,232000
110746,190000
8067,187000
12454,206000
186821,185000
64351,198000
70932,174000
173167,240000
73039,202000
130352,186000
141010,191000
176173,214000
169389,191000
45827,183000
26272,173000
66122,209000
166551,187000
54346,239000
180742,234000
170319,178000
127329,230000
88529,174000
199298,186000
89535,236000
168140,199000
115494,185000
81934,181000
58774,226000
153072,168000
73210,192000
125434,171000
79978,213000
39916,186000
79706,206000
22811,191000
162296,194000
95873,231000
16958,232000
113253,175000
117898,238000
196224,178000
42800,235000
1737,168000
50503,171000
160915,204000
164401,214000
14862,204000
65043,224000
103641,202000
159270,226000
55888,213000
153589,213000
120365,189000
183241,171000
100745,217000
90485,180000
134409,190000
154308,206000
42859,210000
107568,199000
175798,178000
141537,176000
136183,207000
57170,232000
107201,188000
25445,171000
30788,226000
20371,174000
61808,170000
68985,203000
50483,225000
144924,171000
81083,206000
25725,211000
152894,238000
11948,203000
3789,238000
139447,203000
99081,228000
13090,214000
130295,238000
63044,181000
120189,232000
1103,234000
171517,219000
37760,223000
136292,219000
170032,230000
115445,172000
151193,177000
56807,178000
66243,2e+05
147891,179000
107864,235000
173849,170000
111846,186000
97632,226000
175883,189000
148673,168000
167870,195000
95893,227000
30352,2e+05
46265,218000
96184,181000
13610,175000
16448,170000
75467,235000
147356,236000
161970,232000
178694,230000
122645,211000
111192,218000
168408,217000
152876,169000
68860,186000
162708,189000
186296,223000
166684,210000
14078,229000
145296,236000
14568,179000
26532,180000
116518,224000
10541,178000
64369,215000
52150,233000
195518,227000
147483,210000
99794,209000
178174,215000
120370,196000
4705,231000
176288,237000
59979,2e+05
1955,202000
75426,179000
177468,206000
97948,190000
189494,185000
130367,235000
29900,213000
142433,184000
2428,181000
163643,168000
97278,211000
54946,168000
158692,231000
40291,225000
94419,214000
108369,183000
99080,211000
157538,195000
184694,199000
39783,212000
44711,239000
176934,208000
177503,181000
43624,176000
63355,193000
43692,222000
107858,229000
192531,173000
32154,184000
147094,226000
10356,228000
130009,211000
164373,177000
122543,179000
182683,214000
28260,221000
117887,197000
189277,240000
156254,180000
190523,195000
34697,179000
34779,225000
70545,224000
73578,227000
198622,216000
164831,217000
176614,188000
158314,232000
7045,213000
94785,199000
53652,182000
167911,223000
10461,209000
99900,233000
56483,169000
38584,195000
85161,192000
72033,217000
9567,192000
156888,221000
58853,225000
178905,238000
127110,236000
10974,233000
163189,224000
91538,218000
163837,235000
41324,191000
99399,208000
1779,221000
31923,228000
179806,176000
199182,223000
25822,171000
53814,211000
59424,229000
16498,191000
197807,232000
88907,201000
94861,196000
63786,240000
173217,184000
161094,239000
149012,174000
152242,212000
125166,220000
186561,209000
189310,180000
166249,176000
90730,219000
29058,230000
113464,234000
139853,169000
183854,211000
4206,212000
187530,236000
110319,216000
11326,192000
114936,179000
151973,214000
89254,240000
120365,232000
129403,176000
156056,208000
147867,192000
33808,184000
111451,197000
176879,207000
15230,207000
91736,189000
72364,225000
39016,224000
8005,218000
49006,177000
71577,228000
129524,184000
32524,173000
147667,168000
79026,236000
130538,204000
79311,177000
57196,223000
158118,238000
55378,175000
85072,220000
58043,229000
169785,177000
999,233000
67562,226000
41912,202000
104239,191000
39909,201000
108524,223000
115462,198000
188872,239000
84560,174000
26052,238000
58091,228000
14034,233000
47898,218000
92651,215000
73419,235000
55114,169000
58047,220000
42977,214000
135567,235000
17300,204000
164011,210000
56299,232000
93614,214000
67078,227000
93638,240000
96345,224000
180264,194000
2495,233000
150066,197000
121985,234000
96067,227000
26709,227000
171936,206000
62992,193000
122812,207000
127167,202000
13694,240000
133344,209000
158354,176000
56127,187000
30380,218000
59991,173000
2193,230000
152943,206000
174360,197000
35975,237000
143325,181000
167873,225000
153791,170000
174687,210000
131055,188000
126543,171000
119240,172000
125533,194000
7186,194000
139791,182000
197895,168000
49335,192000
51000,170000
171051,174000
179997,168000
87189,197000
29900,235000
123988,228000
162929,238000
162942,190000
61523,239000
149012,170000
191388,210000
30277,217000
94130,174000
11202,187000
153428,215000
52699,223000
90396,192000
